Model,MAE,MSE,RMSE,R2,Directional Accuracy
Naive Baseline,0.021042342373895573,0.000922748179864311,0.03037677039884772,-0.004458875010801222,0.0
Ridge Regression,0.021301322868496897,0.0009577415917404907,0.030947400403595948,-0.04255100447033122,0.4858156028368794
Linear Regression,0.02145815966659056,0.0009745819027105522,0.03121829435940651,-0.060882549501726,0.48936170212765956
Random Forest,0.023479602826223005,0.0010554466804294622,0.03248763888665137,-0.14890802105289036,0.5
Gradient Boosting,0.03916693106202678,0.0022809304864706776,0.04775908799873253,-1.4829102028194514,0.5070921985815603
