Model,Accuracy,Precision,Recall,F1,ROC-AUC
Majority Baseline,0.48226950354609927,0.48226950354609927,1.0,0.6507177033492823,0.5
Logistic Regression,0.5,0.4885844748858447,0.7867647058823529,0.6028169014084507,0.48766116035455276
Gradient Boosting,0.4858156028368794,0.48,0.7941176470588235,0.5983379501385041,0.5134719983883965
Random Forest,0.4858156028368794,0.47738693467336685,0.6985294117647058,0.5671641791044776,0.4761281224818694
