id,open,close,low,high,amount,vol,count
1673798400,20908.69,20920.01,20861.53,20952.61,152.138432,3185082.094,1718
1673712000,20785.94,20910.01,20575,21069.12,1993.365077,41411931.92,55283
1673625600,19262,20785.94,19072.4,21300,10443.46353,214606092.9,200914
1673539200,18095,19259.95,18057.07,19301.96,5292.386629,99548180.78,95556
1673452800,17330.84,18095,17324.79,18360.17,6336.709633,114483985.9,104178
1673366400,17324.15,17330.83,17276.59,17500,2122.157194,36950278.15,50056
1673280000,17268.38,17323.16,17134.49,17390,2458.794604,42432672.41,51294
1673193600,16996.11,17269.17,16919.01,17322.86,3129.380706,53791491,54762
1673107200,16936.87,16996.1,16905.63,17011.96,705.4044833,11949023.07,20214
1673020800,16837.28,16936.88,16807.19,17027.34,1341.806052,22691336.79,30124
1672934400,16843.8,16839.92,16683.53,16870.01,1845.525797,30990293.45,42703
1672848000,16851.95,16843.8,16760.01,16979,2057.457347,34653287.75,46728
1672761600,16677.1,16851.14,16607.28,16906.7,1753.717077,29437853.76,41250
1672675200,16734.23,16680.36,16621.96,16791.66,1535.367418,25661883.89,33521
1672588800,16558.01,16734.18,16550.11,16750,1891.813545,31557354.18,36086
1672502400,16591.44,16558.01,16475,16610,937.6800628,15510472.12,25792
1672416000,16553.27,16592.22,16510.78,16655.45,1285.264858,21293373.45,33621
1672329600,16613.16,16553.82,16348.57,16651.95,2648.559714,43788310.68,47756
1672243200,16576.54,16613.15,16460,16664.1,2600.064923,43096028.47,45254
1672156800,16797.69,16577.37,16569.87,16800.86,2500.768614,41690406.09,48376
1672070400,16806.5,16809.16,16735,16963.78,2732.58072,46028472.98,49839
1671984000,16793.01,16806.53,16735,16911,1840.536026,30985514.44,40178
1671897600,16832.69,16793.33,16730,16856.98,1306.644572,21979505.91,25427
1671811200,16832.36,16832.7,16770.25,16853,1453.231375,24449307.89,31415
1671724800,16636.59,16836.43,16565.08,16919,3239.283079,54373515.18,52006
1671638400,16853,16635.58,16614.68,16864.63,3201.779765,53780666.67,50535
1671552000,16920,16853,16730,16932,3546.36248,59738477.82,57915
1671465600,16670.01,16920,16300.02,17036.47,5075.767734,84986508.67,79590
1671379200,16683.05,16670.01,16635,16830,2620.319687,43854787.24,45867
1671292800,16699.76,16683.04,16652,16798.49,1374.155833,22975269.52,31983
1671206400,16968.99,16699.75,16530,16989.4,3968.437915,66449795.13,71744
1671120000,17424.03,16969.98,16900.01,17530.76,5913.970824,101797876,82946
1671033600,18060.87,17422.1,17376.91,18369.7,5365.701653,95681759.22,92106
1670947200,17753.2,18055.68,17621.06,18100,3106.231044,55436233.91,60578
1670860800,17007.87,17750.13,16965.4,17936.4,4579.613879,79762631.05,88471
1670774400,17154.53,17008.73,16875.71,17264.77,2847.639438,48441842.12,53565
1670688000,17207.5,17154.65,17100,17220.63,1402.984562,24079924.5,32334
1670601600,17178.48,17208.62,17068.6,17220,1601.888682,27471856.56,33103
1670515200,16913.64,17176.59,16910,17334.88,3216.104183,55241482.11,62743
1670428800,16838.07,16913.63,16724.09,16950,2176.016692,36622076.34,49241
1670342400,16983.94,16838.72,16700,17134.99,7711.724673,130947054.6,120805
1670256000,17082.47,16981.29,16875,17133.49,3222.656847,54836976.27,82854
1670169600,17031.38,17084.06,16974.36,17411.76,2573.62856,44294999.84,59886
1670083200,16961.91,17025.8,16860.69,17060,1323.895887,22472706.75,30991
1669996800,16936.95,16962.48,16886,17155,1733.044537,29421389.49,39276
1669910400,16979.17,16935.53,16796.01,17099.83,2154.088957,36508764.18,51271
1669824000,16864.44,16974.82,16705.66,17295,3659.989053,62372099.91,71683
1669737600,16393.76,16864.44,16310.52,17075.96,3368.869235,56388325.03,75278
1669651200,16143.76,16393.24,15946.1,16549.53,3185.730958,52164208.17,72013
1669564800,16572.49,16143.25,16055.69,16620.01,2703.109245,44060941.21,78583
1669478400,16512.84,16574.87,16384.62,16594.99,1073.46446,17740661.75,48405
1669392000,16508.83,16515.71,16451.29,16695,1641.379467,27181734.39,55900
1669305600,16554.45,16512.72,16343.02,16675,2056.381199,33941897.67,61095
1669219200,16423.5,16554.41,16324.13,16799,2799.587697,46314454.91,70429
1669132800,16234.5,16428.53,15760.93,16650,3157.21063,51751790.74,76918
1669046400,16110,16234.51,15500,16303.64,3334.733877,52959814.87,104118
1668960000,16578.86,16110,15900.8,16608.1,2502.507902,40530891.19,75368
1668873600,16654.56,16578.86,16455.56,16815,1231.747772,20487389.57,43576
1668787200,16689.96,16654.55,16532,16732.53,1568.480692,26072158.74,52223
1668700800,16533,16692.45,16515,16980.05,2033.382934,34025241.34,59674
1668614400,16423.19,16544.76,16363.4,16752.92,2200.45091,36420461,63322
1668528000,16982.12,16419.98,16395.56,17065.26,3088.849956,51864939.86,89725
1668441600,16593.79,16984.95,16193.65,17105,2938.926189,49127515.54,101664
1668355200,16576.14,16596.46,15820.01,17188,3822.268672,63193279.07,150119
1668268800,16931.83,16576.14,16438.82,16962.7,2679.807417,44902544.62,90691
1668182400,16875.92,16931.83,16550,17141.64,3883.686796,65372631.43,126391
1668096000,17557.49,16875.93,16362.57,18195,12927.71032,224393461.5,390019
1668009600,17117.21,17557.49,15574.45,17951.59,23473.51242,391969026.8,494814
1667923200,19523.21,17122.4,16917.71,20685,57812.71729,1059866505,705509
1667836800,20765.12,19524.28,19234.21,20888,10262.90003,204167670.4,193732
1667750400,21241.25,20763.05,20573.9,21278.51,4664.5512,97221871.98,102213
1667664000,21302.01,21243.48,21147.16,21377,2171.108229,46167997.23,62122
1667577600,20839.3,21302,20610.5,21473,5231.057339,110590837.7,109256
1667491200,20246.74,20839.78,20160,21298,7774.024376,160657247.9,144070
1667404800,20408,20246.74,20038.97,20797,9237.297051,188279781.8,152763
1667318400,20442.28,20408.01,20340.4,20557.58,3284.451678,67150599.42,72155
1667232000,20399.99,20442.28,20320.72,20686.86,6615.500386,135495333.7,103296
1667145600,20677.11,20399.99,20237.01,20838.01,7798.915042,160327390.5,119488
1667059200,20921.39,20677.11,20625,20980,4238.481254,88077548.43,93281
1666972800,20481.78,20922.88,20450,21069.35,6850.767686,142386776.2,116146
1666886400,20562.52,20481.79,20000,20677.79,6759.059627,137433654.3,127896
1666800000,20843.27,20562.52,20430.37,20989.96,6198.74713,128325635.9,124825
1666713600,19747.15,20843.24,19720,21012.79,10562.66589,215070504.2,177302
1666627200,19300.31,19747.15,19218.81,19810.11,3452.365405,67008974.64,83319
